Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,Government Transformation,"4,000,000",-,"4,000,000",-,346,0
,"Tourism, Culture and Natural
Resources",,,,-,346,0
"General Administra-
tion and Support
Services",,"57,561,495","2,647,768","54,913,727",4.6,346,0
,"General Administration, Planning
and Support Services","57,561,495","2,647,768","54,913,727",4.6,346,0
"Tourism Destination
Marketing and Pro-
motion",,"13,119,211",-,"13,119,211",-,346,0
,"Tourism expos ,incentives ,confer-
ences and exhibition program","3,500,001",-,"3,500,001",-,346,0
,"Community Based Tourism
products","2,200,000",-,"2,200,000",-,346,0
,"Support to development of Tourism
Products","2,900,000",-,"2,900,000",-,346,0
,"Media Campaign and Promotion of
Tourism Products and Programmes","7,419,210",-,"7,419,210",-,346,0
"Tourism Infrastructure
Development",,"12,400,000",-,"12,400,000",-,346,0
,"Completion and Furnishing of
Eco-Lodges","8,000,000",-,"8,000,000",-,346,0
,"Phase II of Renovation of Tourism
Infrastructure","1,500,000",-,"1,500,000",-,346,0
"Culture Development,
Promotion & Preser-
vation",,"167,174,234","1,873,670","165,300,564",1.1,346,0
,Ushanga Initiative,"37,800,000","107,700","37,692,300",0.3,346,0
,"Culture Promotion and Preserva-
tion","84,700,756","1,017,800","83,682,956",1.2,346,0
,"Annual tourism and cultural
festival","35,000,000",-,"35,000,000",-,346,0
Heritage Promotion,,"9,673,478","748,170","8,925,308",7.7,346,0
,Arts and Creativity Development,"3,073,478",-,"3,073,478",-,347,0
,Heritage Promotion,"6,600,000","748,170","5,851,830",11.3,347,0
"Culture Development
Preservation Infra-
structure",,"15,400,000",-,"15,400,000",-,347,0
,"Equipment and Infrastructure De-
velopment at Ekalees Centre","15,400,000",-,"15,400,000",-,347,0
