county,year,quarter,program,sub_program,approved_budget_kshs,actual_expenditure_kshs
tana,2019_20,04,Medical Services,Medical Supllies,172228020.0,152576400.0
tana,2019_20,04,Medical Services,Medical Services,16965439.0,10610133.0
tana,2019_20,04,Medical Services,Ambulance Services,18463700.0,6927126.0
tana,2019_20,04,Medical Services,Preventive and Promotive,53871665.0,13252522.0
tana,2019_20,04,Medical Services,Preventive and Promotive,47704020.0,9712450.0
trans,2019_20,04,Administrative and Support Services,,21183924.0,14500000.0
turkana,2019_20,04,Electrical Services,,1852856.0,320680.0
turkana,2019_20,04,Electrical Services,,2058271.0,1179922.0
turkana,2019_20,04,Health Facilities,,1500000.0,0.0
turkana,2019_20,04,Support to Health Programs,,148823618.0,81843214.0
turkana,2019_20,04,Health promotion,,89120752.0,43857522.0
turkana,2019_20,04,Rehabilitative Services,,1916716.0,1068000.0
turkana,2019_20,04,Referals & Emergency Services,,2484100.0,305300.0
turkana,2019_20,04,Clinical Services,,1878800.0,431000.0
turkana,2019_20,04,Nursing Services,,1389024.0,735000.0
turkana,2019_20,04,Rural Health Facility Support,,2158896.0,1105800.0
turkana,2019_20,04,Medical Supplies,,385337760.0,149383998.0
turkana,2019_20,04,Universal Health Care,,36615822.0,5187500.0
turkana,2019_20,04,Universal Health Care,,2641450.0,570200.0
turkana,2019_20,04,Rehabilitation & Treatment,,570000.0,0.0
turkana,2019_20,04,Child Rescue Centres,,8000000.0,0.0
turkana,2019_20,04,Child Care & Protection,,5299739.0,3406331.0
uasin,2019_20,04,"Disaster Manage-
ment","Fire, ambulance and emergen-
cy services",7370048.0,3874238.0
uasin,2019_20,04,"Curative Health
Services",County health referral hospital,40982446.0,22665676.0
uasin,2019_20,04,"Curative Health
Services","Medical/Diagnostic Equip-
ment’s Supplies",258150961.0,28698700.0
uasin,2019_20,04,"Curative Health
Services",,299133407.0,51364376.0
uasin,2019_20,04,Clinical Services,Clinical Services,25507573.0,
uasin,2019_20,04,Clinical Services,,25507573.0,
wajir,2019_20,04,"Public Health , Medical
Service And Sanitation",,,
wajir,2019_20,04,"0401003360 P1 Curative,
Rehabilitative and Referral
Services","0401003360 P1 Curative,
Rehabilitative and Referral
Services",392142699.0,357104895.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,,
west,2019_20,04,"Department Health, Sanitation and Emergencies",,1278761133.0,1264893236.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,102668287.0,96652941.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,171762694.0,138634476.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,16584561.0,15617041.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,16204696.0,14803478.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,20188527.0,19494530.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,,
west,2019_20,04,"Department Health, Sanitation and Emergencies",,142807368.0,53344096.0
west,2019_20,04,"Department Health, Sanitation and Emergencies",,1748977266.0,1603439798.0
baringo,2020_21,01,Health/preventive services,,,
baringo,2020_21,01,Health/preventive services,"General administration, planning
& support services",,
baringo,2020_21,01,Health/preventive services,Support service,,
baringo,2020_21,01,"Curative and Rehabilitative Ser-
vices",,341543725.0,9080688.0
baringo,2020_21,01,"Curative and Rehabilitative Ser-
vices","General administration, planning
& support services",341543725.0,9080688.0
baringo,2020_21,01,"Curative and Rehabilitative Ser-
vices",Support service,,
baringo,2020_21,01,"Curative and Rehabilitative Ser-
vices",Support to County Hospitals (FIF),,
baringo,2020_21,01,"Preventive and Promotive Health
Services",,,
baringo,2020_21,01,"Preventive and Promotive Health
Services",Infrastructure Development,,
baringo,2020_21,01,"Preventive and Promotive Health
Services",Primary Health Care,,
baringo,2020_21,02,County Health Services,,2739322038.0,1097885054.0
baringo,2020_21,02,County Health Services,Curative and Rehabilitative Services,537750858.0,19543626.0
baringo,2020_21,02,County Health Services,General administration,2201571180.0,1078341428.0
baringo,2020_21,02,County Health Services,Health/preventive services,,
baringo,2020_21,02,County Health Services,"Preventive and Promotive Health Ser-
vices",,
baringo,2020_21,02,"Promotion of Primary Health
care",,,
bungoma,2020_21,02,"General Administration
and Planning, and Sup-
port Services",Health Infrastructure,172032460.0,
bungoma,2020_21,02,"Preventive Promotive
and Rehabilitative",Health Promotion services,5000000.0,
bungoma,2020_21,02,"Preventive Promotive
and Rehabilitative",Disease surveillance,1576051.0,
bungoma,2020_21,02,"Preventive Promotive
and Rehabilitative",Community health services,76800000.0,
bungoma,2020_21,02,"Preventive Promotive
and Rehabilitative",HIV/AIDS awareness.,2000000.0,
bungoma,2020_21,02,"Curative and Rehabilita-
tive Health Services",Routine Medical Services,551556410.0,
bungoma,2020_21,02,"Curative and Rehabilita-
tive Health Services",Blood Bank Services,10000000.0,
bungoma,2020_21,02,"Curative and Rehabilita-
tive Health Services",Maternity Services,61252101.0,
busia,2020_21,02,Cp 55: Curative Health Services,CSP 55.2: Hospital equipment,32775000.0,
embu,2020_21,02,Social Welfare Services,,7829601.0,631215.0
embu,2020_21,02,Vocational Rehabilitation and Training,,5219734.0,420810.0
embu,2020_21,02,Health Promotion & Disease Control,,493240945.0,180482279.0
embu,2020_21,02,Health Promotion & Disease Control,,70934873.0,11975087.0
homa,2020_21,02,Department of Health Services,,,
homa,2020_21,02,"Preventive and promotive
health services",Community health services,54500000.0,
homa,2020_21,02,"Preventive and promotive
health services",Disease control services,5400000.0,
homa,2020_21,02,"Preventive and promotive
health services","Facility infrastructure im-
provement services",164500000.0,
homa,2020_21,02,"Preventive and promotive
health services",Sub total,224400000.0,
homa,2020_21,02,"Curative and rehabilitative
health services","Routine medical health ser-
vices",172676139.0,53997860.0
homa,2020_21,02,"Curative and rehabilitative
health services","Medical emergency response
services",20687192.0,
homa,2020_21,02,"Curative and rehabilitative
health services","Facility infrastructure im-
provement services",200320190.0,166381730.0
homa,2020_21,02,"Curative and rehabilitative
health services",Sub total,393683521.0,220379590.0
homa,2020_21,02,Financial management services,"Emergency Management Ser-
vices",120000000.0,4548172.0
isiolo,2020_21,02,401023510.0,Preventive and Promotive Health Services,74207972.0,26685900.0
isiolo,2020_21,02,403013510.0,Curative and Rehabilitative Health Services,81735675.0,12772514.0
kakamega,2020_21,02,402004810.0,Public Health,78606750.0,22260000.0
kericho,2020_21,02,Health Services,,,
kericho,2020_21,02,Curative Health,Administration and Planning,1213146245.0,644383492.0
kericho,2020_21,02,Curative Health,Hospital(curative)Services,,
kericho,2020_21,02,Preventive and Promotive Health,"Preventive Medicine and Promo-
tive Health",1281534216.0,220434953.0
kericho,2020_21,02,Preventive and Promotive Health,,2494680461.0,864818445.0
kiambu,2020_21,02,Health Services,,,
kiambu,2020_21,02,"0401004060 Curative and pre-
ventive health care services",Health curative services,1641450485.0,
kiambu,2020_21,02,"0403004060 Preventive Health
Services","Community Health Ser-
vices",81055329.0,
kiambu,2020_21,02,"0403004060 Preventive Health
Services",,81055329.0,
kilifi,2020_21,02,Health,Curative and rehabilitative,529781345.0,
kilifi,2020_21,02,Health,"General Administration, Planning
& Support Services",2728128585.0,1056403930.0
kisumu,2020_21,02,"Preventive and Pro-
motive Health Ser-
vices",Environmental Health and Sanitation,1492586026.0,
kisumu,2020_21,02,"Preventive and Pro-
motive Health Ser-
vices",Community Health Strategy,1100000.0,
kisumu,2020_21,02,"Preventive and Pro-
motive Health Ser-
vices",Health Promotion Services,80511968.0,
kisumu,2020_21,02,"Preventive and Pro-
motive Health Ser-
vices",Sub Total,1575397994.0,
kisumu,2020_21,02,"Health Sector Support
Program",Health Promotion Services,202341389.0,
kisumu,2020_21,02,"Health Sector Support
Program",Sub Total,202341389.0,
kisumu,2020_21,02,"Kisumu County Refer-
ral Hospital",Sub Total,26740133.0,
kisumu,2020_21,02,"Medical & Bio – Medi-
cal Services",County and Sub – County Hospital Services,338848000.0,
kitui,2020_21,02,Health Promotion and Disease Control,404013710.0,2725985.0,631753.0
kitui,2020_21,02,Health Promotion and Disease Control,404023710.0,53592106.0,10378163.0
kwale,2020_21,02,Medical and Public Health Services,,,
kwale,2020_21,02,Public Health(0401053060),,3350000.0,605565.0
laikipia,2020_21,02,"Sports, Arts and Social
Services",Child care services,2500000.0,906810.0
lamu,2020_21,02,Department of Medical Services,,,
lamu,2020_21,02,Medical Services,P 2: Curative Services,144392668.0,17120501.0
machakos,2020_21,02,HEALTH AND EMERGENCY SERVICES,,,
machakos,2020_21,02,Sub-programme 7,Public Health and Comminity Outreach,91820163.0,1028250.0
machakos,2020_21,02,Sub-programme 8,Emergency Services,17984435.0,
makueni,2020_21,02,Health,"Programme 1: General administration &
planning",,
makueni,2020_21,02,Health,Programme 2: Curative health care services,,
makueni,2020_21,02,Health,SP2. 1: Curative health care services,255393727.0,44653681.0
makueni,2020_21,02,Health,"Programme 3; Preventive and promotive
health care services",,
makueni,2020_21,02,Health,"SP3. 1 Preventive and promotive health care
services",138388507.0,1645160.0
makueni,2020_21,02,Health,Total Expenditure of Vote,3780430207.0,1184215847.0
marsabit,2020_21,02,Health Services,Curative Health Services,,
marsabit,2020_21,02,Health Services,"General Administration, Planning and
Support Services",2215731869.0,780170672.0
marsabit,2020_21,02,Health Services,Maternal and child health,,
marsabit,2020_21,02,Health Services,Sub total,2215731869.0,780170672.0
meru,2020_21,02,"Disaster Management, Rescue
and Emergency","Disaster Management, Res-
cue and Emergency",16832403.0,3125600.0
meru,2020_21,02,"Gender, Social Development &
Children Services",Sub Total,1037069019.0,262853002.0
meru,2020_21,02,Health Service,,,
meru,2020_21,02,Preventive and Promotive,Preventive services,137181996.0,54957816.0
meru,2020_21,02,Health Care Services,Promotive health care,,
meru,2020_21,02,Curative Health,Curative health care services,815052444.0,144601528.0
migori,2020_21,02,Child Care Support Services,ECDE Staffing,1000000.0,
migori,2020_21,02,Child Care Support Services,Sub-total,1000000.0,
migori,2020_21,02,Child Care Support Services,Sub-total,58141472.0,
migori,2020_21,02,Child Care Support Services,Sub-total,53067165.0,4175904.0
migori,2020_21,02,"Planning and administrative
support services(Medical ser-
vices)","Administrative And Support
Services(Medical services)",1366510756.56,707544856.32
migori,2020_21,02,Public health,"Health Management Informa-
tive System(Public Health)",338052.0,165250.0
migori,2020_21,02,Public health,"Administrative And Support
Services(Public Health)",16283080.09,4446374.0
migori,2020_21,02,Public health,Sub-total,16621132.09,4611624.0
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)","Human Nutrition And Dietet-
ics(Medical services)",507079.0,
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)","Hiv And Aids Management(-
Medical services)",236637.0,
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)","Disease Surveillance/(Medical
services)",5000000.0,
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)","Emergency Preparedness And
Response(medical services)",1690268.0,
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)","Family& Reproductive Health
Medical services)",34738053.0,
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)","Family Planning & Adolescent
Health activities (Co funding)",7000000.0,
migori,2020_21,02,"Medical services (Preventive And
Promotive Health Services)",Sub-total,49172037.0,
migori,2020_21,02,Public health,"Community Health Services(-
Public health)",24338053.0,
migori,2020_21,02,Public health,"Sanitation And Environmental
Health Services(Public health)",338053.0,
migori,2020_21,02,Public health,"Disease Surveillance/(Public
health)",89415132.0,1150000.0
migori,2020_21,02,Public health,"Emergency Preparedness And
Response(Public health)",1490268.0,
migori,2020_21,02,Public health,"Health Promotion(Public
health)",338053.0,
migori,2020_21,02,Public health,"Family& Reproductive
Health(Public health)",7938053.0,
migori,2020_21,02,Public health,"Family & Adolescent Health
activities (Co funding)",10600000.0,
migori,2020_21,02,Public health,Sub-total,135928144.0,2410830.0
migori,2020_21,02,Medical services,"Diagnostic Services(Medical
services)",2200000.0,
migori,2020_21,02,Medical services,Sub-total,191815655.0,18278957.5
migori,2020_21,02,Public health,Sub-total,85291232.0,2935700.0
migori,2020_21,02,Disaster Management,Fire and Rescue services,,
mombasa,2020_21,02,3017 Health Services,Curative/Clinical Health Services,200016500.0,
mombasa,2020_21,02,3017 Health Services,Preventive and Promotive Services Unit,703691515.0,
mombasa,2020_21,02,3017 Health Services,Special Programs,78123400.0,1170800.0
nairobi,2020_21,02,"0401000 P.1 Preventive & Promotive Health
Services",,,
nairobi,2020_21,02,"0401000 P.1 Preventive & Promotive Health
Services",,,
nairobi,2020_21,02,0402005310 Curative care,,,
nandi,2020_21,02,"Preventive & Promotive
Health Services",Community Health Services,391537664.0,164176256.0
nandi,2020_21,02,"Preventive & Promotive
Health Services",Sub total,391537664.0,164176256.0
nandi,2020_21,02,Curative Health Services,Curative Health Management Services,126796289.0,38215410.0
nandi,2020_21,02,Curative Health Services,Sub total,126796289.0,38215410.0
narok,2020_21,02,Food Security Initiatives,,,
narok,2020_21,02,Administrative Services,,3908004.0,
narok,2020_21,02,Preventive & Promotive Health Services,,,
narok,2020_21,02,Health Promotion,,,
narok,2020_21,02,Preventive & Promotive Health Services,,864720000.0,464245567.0
narok,2020_21,02,Health Promotion,,864720000.0,464245567.0
narok,2020_21,02,Curative Health Services,,325874301.0,44003968.0
narok,2020_21,02,"Health Policy, Planning and Financing",,2201127501.0,694132601.0
narok,2020_21,02,"Health Policy, Planning & Financing",,,
narok,2020_21,02,Administrative Services,,550596129.0,168688480.0
narok,2020_21,02,Social Development and Children Services,,299157353.0,77739400.0
nyamira,2020_21,02,"Preventive and Pro-
motive Health Ser-
vices",Health Promotion,532504808.0,265882841.25
nyamira,2020_21,02,"Curative Health Ser-
vices",Medical services,1075832648.0,427266275.65
nyandarua,2020_21,02,Curative Services,"Curative Services (including univer-
sal health care and grants)",678821034.0,162202788.0
nyeri,2020_21,02,Health Services,,579552651.0,52436637.0
samburu,2020_21,02,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,,
tana,2020_21,02,"Curative and Rehabili-
tative",Curative and Rehabilitative,287600000.0,16708950.0
